Diversity_Indices,Season,BC,SH,DON,DEG,WF,WHIP
inv_simp,1,2.508636814,2.588764045,2.05655527,1.086152067,1.329177276,1.749010293
div_shan,1,1.124194524,1.34922777,1.113029728,0.223618546,0.513554621,0.914821481
SR,1,9,5,7,8,4,5
inv_simp,2,2.856910162,1.133081642,1.694835681,1.435549525,1.415867072,1.754077526
div_shan,2,1.388319146,0.297585518,0.708018976,0.618603179,0.724823887,1.047268756
SR,2,9,4,3,4,9,10
inv_simp,3,NA,6.31120332,2.795560428,2,2.812855007,4.427931292
div_shan,3,NA,2.057016316,1.269634599,0.693147181,1.336002728,1.771942648
SR,3,NA,2,8,11,9,11
inv_simp,4,2.446321526,2.937929414,4.555555556,5.718824464,3.70220686,3.09311567
div_shan,4,1.132204558,1.356412663,1.797570997,2.079300174,1.675872745,1.567660491
SR,4,6,14,9,14,10,12